year,month,traffic_volume
2022,4.0,227688304
2022,5.0,242408119
2022,6.0,235289382
2022,7.0,224006604
2022,8.0,229119617
2022,9.0,218365188
2022,10.0,237783149
2022,11.0,239426702
2022,12.0,257885207
2022,1.0,250983877
2022,2.0,240638035
2022,3.0,254649641
2022,,2858243825
