Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Annexure 7.6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Length of Roads under Irrigation Departments of States/Uts - By Type of Surface in India,,,,,,,,,,,,,,,,,,,
,As on 31.03.2016                                           (in km),,,,,,,,,,,,,,,,,,,
,l.No,,,Name of State/UT,,,Total,,,Surfaced,,,nsurfaced,,,,,,,
,,,Length,W.B.M.,W.B.M.,B.T./C.C,B.T./C.C,Total (4+5),Total (4+5),Total,Total,,,,,,,,,
,,(6+7),,,,,,,,,,,,,,,,,,
,1,,,2,,,3,,,4,,,5,,,6,,,7,
,1,,Andhra Pradesh  *,,848,,434,249,,683,,165,,,,,,,,
,2,,Arunachal Pradesh,,,,,,,,,,,,,,,,,
,3,,,ssam,,,"1,456",,18,11,,29,,"1,427",,,,,,
,4,,Bihar,,,,,,,,,,,,,,,,,
,5,,,hhattisgarh *,,,"3,023",,111,296,,407,,"2,616",,,,,,
,6,,Goa,,,,,,,,,,,,,,,,,
,7,,,ujarat  *,,,"8,768",,"1,340",825,,"2,165",,"6,603",,,,,,
,8,,Haryana,,,,,,,,,,,,,,,,,
,9,,Himachal Pradesh,,,,,,,,,,,,,,,,,
,10,,Jammu & Kashmir  *,,422,,133,0,,133,,289,,,,,,,,
,11,,Jharkhand,,,,,,,,,,,,,,,,,
,12,,,arnataka  *,,,"9,731",,"4,425","1,825",,"6,250",,"3,481",,,,,,
,13,,,erala,,,"3,429",,631,"1,590",,"2,221",,"1,208",,,,,,
,14,,,adhya Pradesh *,,,"4,296",,753,603,,"1,356",,"2,940",,,,,,
,15,,,aharashtra,,,"7,234",,"1,804","1,017",,"2,821",,"4,413",,,,,,
,16,,Manipur,,,,,,,,,,,,,,,,,
,17,,,eghalaya,,,175,,6,7,,13,,162,,,,,,
,18,,,izoram,,,,,,,,,,,,,,,,
,19,,,agaland,,,,,,,,,,,,,,,,
,20,,Odisha *,,"17,387",,"4,429","3,113",,"7,542",,"9,845",,,,,,,,
,21,,Punjab,,"8,243",,66,"1,469","1,535","6,708",,,,,,,,,,
,22,,,ajasthan,,,851,,131,354,,485,,366,,,,,,
,23,,Sikkim,,,,,,,,,,,,,,,,,
,24,,Tamil Nadu,,"3,086",,322,"1,111","1,433","1,653",,,,,,,,,,
,25,,Telangana,,803,,109,303,412,391,,,,,,,,,,
,26,,Tripura,,,,,,,,,,,,,,,,,
,27,,Uttarakhand,,406,,18,325,,343,,63,,,,,,,,
,28,,Uttar Pradesh  *,,"24,169",,119,"2,175",,"2,294",,"21,875",,,,,,,,
,29,,,est Bengal,,,"5,586",,"1,275",916,,"2,191",,"3,395",,,,,,
30.0,"Andaman & NicobarIslands",,,,,,,,,,,,,,,,,,,
,30,,,,,,,,,,,,,,,,,,,
,31,,UT Chandigarh,,,,,,,,,,,,,,,,,
32.0,Dadra & Nagar Haveli,,,,,,,,,,,,,,,,,,,
,32,,,,,,,,,,,,,,,,,,,
,33,,Daman & Diu,,,,,,,,,,,,,,,,,
,34,,Delhi,,,,,,,,,,,,,,,,,
,35,,Lakshadweep,,,,,,,,,,,,,,,,,
,36,,,uducherry,,,,,,,,,,,,,,,,
,,,,otal,,,"99,913",,,"16,124",,,"16,189",,,"32,313",,,"67,600",
,,,,,,,,,,,,,,,,,,,,
,ource : State Departments of Irrigation,,,,,,,,,,,,,,,,,,,
,":  For Andhra Pradesh, Chhattisgarh,  Gujarat,  J&K, Karnataka, M.P, Odisha and U.P the length is as on 31.03.2015",,,,,,,,,,,,,,,,,,,
,lank cells refer to States and UTs who have not furnished data or have insigificant or nil irrigation roads,,,,,,,,,,,,,,,,,,,
