Sl. No.,Tables,Page No.
1,"Table 1.1: Road Network by Categories (in kilometres) –1950-51 to 2014-15 and 2015-16",3
2,Table 1.2CAGR (in %) of Road Networks  - 1951 to 2016,4
3,"Table1.3InvestmentinHighwaysinbothPublicandprivate 2005-06 to 2016-17(in Crores)",5
4,"Table 2.1: Lane-wise Break-up of National Highways -2014-2015; &2015-16",9
5,"Table 2.2: List of State-Wise National Highways in thecountry as on 31.03.2016",11
6,"Table 8.1: Major Road Indicators across Select Countries(2014)",22
7,"Table 9.1:Central Road Sector Outlay and Expenditure(including private sector investment) - (At Current Price)for 12th Plan",25
8,"Table9.2:TheState/UT-wisedetailsoffundsallocated/utilized for development of NHs during each ofthe last three years",26-27
