date,traffic_volume
2022-04-01,7589610.133333334
2022-05-01,7819616.741935484
2022-06-01,7842979.4
2022-07-01,7226019.483870967
2022-08-01,7390955.387096774
2022-09-01,7278839.6
2022-10-01,7670424.161290322
2022-11-01,7980890.066666666
2022-12-01,8318877.645161291
2023-01-01,8096254.096774193
2023-02-01,8594215.535714285
2023-03-01,8214504.548387097
