valid_time,t2m,tp,latitude,longitude
2022-01-01 00:00:00,257.30115,1.5258789e-05,78.0,20.0
2022-01-01 01:00:00,256.9807,1.859665e-05,78.0,20.0
2022-01-01 02:00:00,256.98743,1.9073486e-05,78.0,20.0
2022-01-01 03:00:00,257.01266,1.9073486e-05,78.0,20.0
2022-01-01 04:00:00,256.99933,1.8119812e-05,78.0,20.0
2022-01-01 05:00:00,256.96844,1.7166138e-05,78.0,20.0
2022-01-01 06:00:00,256.9232,1.8119812e-05,78.0,20.0
2022-01-01 07:00:00,256.81223,1.335144e-05,78.0,20.0
2022-01-01 08:00:00,256.71487,1.2874603e-05,78.0,20.0
2022-01-01 09:00:00,256.60803,1.335144e-05,78.0,20.0
2022-01-01 10:00:00,256.3982,1.2397766e-05,78.0,20.0
2022-01-01 11:00:00,256.29517,1.2874603e-05,78.0,20.0
2022-01-01 12:00:00,256.2545,1.0967255e-05,78.0,20.0
2022-01-01 13:00:00,256.20587,9.536743e-06,78.0,20.0
2022-01-01 14:00:00,256.0965,9.059906e-06,78.0,20.0
2022-01-01 15:00:00,256.13727,9.059906e-06,78.0,20.0
2022-01-01 16:00:00,256.22137,1.0967255e-05,78.0,20.0
2022-01-01 17:00:00,256.2511,1.0967255e-05,78.0,20.0
2022-01-01 18:00:00,256.25885,1.1920929e-05,78.0,20.0
2022-01-01 19:00:00,256.2068,1.001358e-05,78.0,20.0
2022-01-01 20:00:00,256.37115,9.059906e-06,78.0,20.0
2022-01-01 21:00:00,256.59915,7.1525574e-06,78.0,20.0
2022-01-01 22:00:00,256.18225,9.536743e-06,78.0,20.0
2022-01-01 23:00:00,256.19946,1.1444092e-05,78.0,20.0
2022-01-02 00:00:00,256.14032,1.2397766e-05,78.0,20.0
2022-01-02 01:00:00,256.08923,1.04904175e-05,78.0,20.0
2022-01-02 02:00:00,256.09705,1.001358e-05,78.0,20.0
2022-01-02 03:00:00,256.08865,1.1920929e-05,78.0,20.0
2022-01-02 04:00:00,256.13196,8.106232e-06,78.0,20.0
2022-01-02 05:00:00,256.10797,5.722046e-06,78.0,20.0
2022-01-02 06:00:00,256.138,6.198883e-06,78.0,20.0
2022-01-02 07:00:00,256.1027,6.198883e-06,78.0,20.0
2022-01-02 08:00:00,256.20044,1.04904175e-05,78.0,20.0
2022-01-02 09:00:00,256.38168,1.4305115e-05,78.0,20.0
2022-01-02 10:00:00,256.79773,1.5258789e-05,78.0,20.0
2022-01-02 11:00:00,257.1065,1.9073486e-05,78.0,20.0
2022-01-02 12:00:00,257.5251,3.0040741e-05,78.0,20.0
2022-01-02 13:00:00,257.8518,5.5789948e-05,78.0,20.0
2022-01-02 14:00:00,258.13098,0.000104904175,78.0,20.0
2022-01-02 15:00:00,258.39816,0.0001835823,78.0,20.0
2022-01-02 16:00:00,258.64948,0.0002837181,78.0,20.0
2022-01-02 17:00:00,258.8536,0.0003080368,78.0,20.0
2022-01-02 18:00:00,259.0494,0.00027036667,78.0,20.0
2022-01-02 19:00:00,259.1505,0.00030899048,78.0,20.0
2022-01-02 20:00:00,259.0922,0.00023937225,78.0,20.0
2022-01-02 21:00:00,258.78186,0.00014781952,78.0,20.0
2022-01-02 22:00:00,258.8991,7.05719e-05,78.0,20.0
2022-01-02 23:00:00,258.04047,2.0503998e-05,78.0,20.0
2022-01-03 00:00:00,257.3064,8.106232e-06,78.0,20.0
2022-01-03 01:00:00,256.68817,1.001358e-05,78.0,20.0
2022-01-03 02:00:00,256.30692,9.059906e-06,78.0,20.0
2022-01-03 03:00:00,255.7638,9.059906e-06,78.0,20.0
2022-01-03 04:00:00,255.27177,9.536743e-06,78.0,20.0
2022-01-03 05:00:00,254.74072,1.04904175e-05,78.0,20.0
2022-01-03 06:00:00,254.298,1.1920929e-05,78.0,20.0
2022-01-03 07:00:00,254.03503,1.1444092e-05,78.0,20.0
2022-01-03 08:00:00,253.88269,1.1444092e-05,78.0,20.0
2022-01-03 09:00:00,253.76242,1.2397766e-05,78.0,20.0
2022-01-03 10:00:00,254.03354,1.4781952e-05,78.0,20.0
2022-01-03 11:00:00,254.03319,1.6212463e-05,78.0,20.0
2022-01-03 12:00:00,254.13113,1.7642975e-05,78.0,20.0
2022-01-03 13:00:00,254.32394,1.7166138e-05,78.0,20.0
2022-01-03 14:00:00,254.48099,1.5258789e-05,78.0,20.0
2022-01-03 15:00:00,254.68509,1.1920929e-05,78.0,20.0
2022-01-03 16:00:00,254.8538,1.0967255e-05,78.0,20.0
2022-01-03 17:00:00,254.97581,1.04904175e-05,78.0,20.0
2022-01-03 18:00:00,255.14726,1.001358e-05,78.0,20.0
2022-01-03 19:00:00,255.36134,9.059906e-06,78.0,20.0
2022-01-03 20:00:00,255.5494,9.059906e-06,78.0,20.0
2022-01-03 21:00:00,255.60892,8.106232e-06,78.0,20.0
2022-01-03 22:00:00,255.81538,6.67572e-06,78.0,20.0
2022-01-03 23:00:00,255.87798,6.198883e-06,78.0,20.0
2022-01-04 00:00:00,255.97272,4.7683716e-06,78.0,20.0
2022-01-04 01:00:00,256.03198,4.7683716e-06,78.0,20.0
2022-01-04 02:00:00,256.04736,3.8146973e-06,78.0,20.0
2022-01-04 03:00:00,256.05975,3.8146973e-06,78.0,20.0
2022-01-04 04:00:00,256.0061,4.2915344e-06,78.0,20.0
