Sl.No.,Name of State/UT,Total,Surfaced,Unnamed: 0,Unnamed: 1
1,2,3,4.0,,
1,Andhra Pradesh,Andhra Pradesh,24124.0,19544.0,
2,,Arunachal Pradesh,,266.0,201.0
3,,Assam,,6306.0,4049.0
4,,Bihar,,8826.0,3702.0
5,,Chhattisgarh,,12247.0,10464.0
6,,Goa,,865.0,769.0
7,,Gujarat,,27360.0,22503.0
8,,Haryana,,14680.0,10529.0
9,Himachal Pradesh,Himachal Pradesh,1127.0,1045.0,
10,Jammu And Kashmir,Jammu And Kashmir,1668.0,1668.0,
11,,Jharkhand,,6003.0,4692.0
,,,,,
12,,Karnataka,,51357.0,35668.0
13,,Kerala,,30788.0,25711.0
14,Madhya Pradesh,Madhya Pradesh,15741.0,11819.0,
15,,Maharashtra,,23870.0,18887.0
16,,Manipur,,151.0,96.0
17,Meghalaya,Meghalaya,171.0,167.0,
18,,Mizoram,,395.0,363.0
,,,,,
19,,Nagaland,,99.0,97.0
20,,Odisha,,20842.0,15793.0
21,,Punjab,,17534.0,15387.0
22,Rajasthan,Rajasthan,27544.0,23429.0,
23,,Sikkim,,48.0,46.0
24,Tamilnadu,Tamilnadu,24496.0,22787.0,
25,Telangana,Telangana,10256.0,9338.0,
26,,Tripura,,602.0,424.0
27,Uttarakhand,Uttarakhand,5573.0,3949.0,
28,Uttar Pradesh,Uttar Pradesh,62565.0,47469.0,
29,West Bengal,West Bengal,95267.0,66954.0,
30,A & N Islands,143,142.0,,
31,Chandigarh,2523,2523.0,,
32,Dadra  & Nagar Haveli,83,83.0,,
33,Daman & Diu,145,145.0,,
34,Delhi,15083,15081.0,,
35,Lakshadweep,2,2.0,,
36,Pondichery,982,932.0,,
Total,509730,396458,,,
