Sl.No.,Name of State/UT,Total,Surfaced,Unnamed: 0,Unnamed: 1
1,2,3,4.0,,
1,Andhra Pradesh,ndhra Pradesh,97666.0,48339.0,
2,Arunachal Pradesh,runachal Pradesh,14509.0,8038.0,
3,,ssam,,291933.0,48704.0
4,,ihar,,175373.0,99476.0
5,Chhattisgarh,hhattisgarh,35048.0,29565.0,
6,,oa,,13303.0,8441.0
7,,ujarat,,85989.0,76543.0
8,,aryana,,6974.0,5561.0
9,Himachal Pradesh,imachal Pradesh,44755.0,35170.0,
10,Jammu And Kashmir,ammu And Kashmir,22698.0,20328.0,
11,Jharkhand,harkhand,36076.0,34158.0,
12,Karnataka,arnataka,200389.0,105056.0,
13,,erala,,127985.0,79090.0
14,Madhya Pradesh,adhya Pradesh,203542.0,183817.0,
15,Maharashtra,aharashtra,413146.0,306755.0,
16,,anipur,,11121.0,6720.0
17,Meghalaya,eghalaya,13534.0,4488.0,
18,Mizoram,izoram,3487.0,2995.0,
19,Nagaland,agaland,26631.0,10662.0,
20,,disha,,217919.0,216259.0
21,,unjab,,70362.0,69722.0
22,Rajasthan,ajasthan,171259.0,131175.0,
23,,ikkim,,4796.0,3562.0
24,Tamilnadu,amilnadu,165292.0,123014.0,
25,Telangana,elangana,81640.0,47642.0,
26,,ripura,,35041.0,17351.0
27,Uttarakhand,ttarakhand,24755.0,18244.0,
28,Uttar Pradesh,ttar Pradesh,245396.0,222357.0,
29,West Bengal,est Bengal,191354.0,41505.0,
30,A & N Islands,437,437.0,,
31,Chandigarh,0,0.0,,
32,Dadra  & Nagar Haveli,802,802.0,,
33,Daman & Diu,218,218.0,,
34,Delhi,0,0.0,,
35,Lakshadweep,207,207.0,,
36,Pondichery,1702,1375.0,,
Total  (Excluding JRY Roads),3035337,2007777,,,
Total (Including JRY Roads),3935337,2190979,,,
