Sl. No.,Sections,Page No.
1,Executive Summary,1-2
2,Section 1: Overview of Road Network in India,3-7
3,Section 2: National Highways in India,8-11
4,Section 3: State Highways in India,12-13
5,Section 4: District Roads,14-15
6,Section 5: Rural Roads,16-17
7,Section 6: Urban Roads,18-19
8,Section 7: Project  Roads,20-21
9,Section 8: International Comparison,22
10,"Section9:InitiativestakenbyMinistryofRoadTransport and Highways for  improving road networkin the country",23-27
