Period,NHs,"SHs &DistrictRoads","RuralRoads","UrbanRoads","ProjectRoads",Total
2016/1951,2.5,3.2,4.4,,,4.1
1961/1951,1.9,4,-0.5,,,2.7
1971/1961,0.0,2.6,6,4.5,,5.7
1981/1971,2.9,4.5,5.9,5.5,2.1,5.0
1991/1981,0.6,2.1,7.2,4.3,1.2,4.6
2001/1991,5.5,3.1,4.6,3.0,0.6,3.8
2014/2004,3.4,3.9,4.4,4.3,1.3,4.1
2015/2005,4.1,3.1,3.9,5.0,1.5,3.7
2016/2006,4.3,*,*,5.7,2.0,3.7
